nome_empresa,nome_pais,filmes_compartilhados,total_vitorias_prorata,total_nominacoes_prorata,total_oscars_prorata
Warner Bros,United States,267,0.0,1562.25,16.95
Paramount Pictures,United States,220,0.0,1152.68,16.33
Walt Disney Pictures,United States,162,0.0,1305.69,15.72
Dreamworks Pictures,United States,106,0.0,617.48,13.14
Universal Pictures,United States,273,0.0,950.64,11.39
Scott Rudin Productions,United States,32,0.0,509.11,11.39
BBC Film,United Kingdom,122,0.0,379.09,10.87
Columbia Pictures,United States,245,0.0,974.33,9.17
Film4,United Kingdom,91,0.0,569.21,9.1
DreamWorks Animation,United States,42,0.0,376.72,7.94
Marvel Studios,United States,36,0.0,1301.65,7.92
Focus Features,United States,82,0.0,660.48,6.89
Miramax,United States,92,0.0,472.51,6.76
Warner Bros,United Kingdom,59,0.0,481.72,6.42
Annapurna Pictures,United States,28,0.0,428.36,6.18
Sikelia Productions,United States,8,0.0,257.06,6.17
Twentieth Century Fox,United States,147,0.0,593.06,5.75
Amblin Entertainment,United States,28,0.0,264.33,5.38
BBC Film,United States,67,0.0,225.09,5.32
Lucasfilm,United States,10,0.0,170.43,5.32
